"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 10:56:43 IDT 2024","Sun Jul 14 10:56:54 IDT 2024","11483","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | lofi \u0026 chill beats",""
"failed","Sun Jul 14 10:09:42 IDT 2024","Sun Jul 14 10:09:58 IDT 2024","16094","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | america",""
"failed","Sun Jul 14 10:58:52 IDT 2024","Sun Jul 14 10:59:09 IDT 2024","16986","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | holiday",""
"failed","Sun Jul 14 11:14:15 IDT 2024","Sun Jul 14 11:14:25 IDT 2024","10471","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | football",""
"passed","Sun Jul 14 11:08:40 IDT 2024","Sun Jul 14 11:08:57 IDT 2024","17042","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | blues",""
"failed","Sun Jul 14 10:25:20 IDT 2024","Sun Jul 14 10:25:37 IDT 2024","16518","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | social media",""
"failed","Sun Jul 14 11:16:57 IDT 2024","Sun Jul 14 11:17:07 IDT 2024","10285","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | elegant",""
"failed","Sun Jul 14 11:06:53 IDT 2024","Sun Jul 14 11:07:05 IDT 2024","11846","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | game",""
"failed","Sun Jul 14 10:56:54 IDT 2024","Sun Jul 14 10:57:06 IDT 2024","11171","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | kids",""
"passed","Sun Jul 14 10:01:36 IDT 2024","Sun Jul 14 10:01:52 IDT 2024","15778","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | ceremony",""
"passed","Sun Jul 14 10:31:13 IDT 2024","Sun Jul 14 10:31:40 IDT 2024","26307","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | cute",""
